threshold,precision,recall,f1_score,tn,fp,fn,tp,n_pred_pos
0.2,0.3866,0.9644,0.5519,346,430,10,271,701
0.25,0.4049,0.9466,0.5672,385,391,15,266,657
0.3,0.4228,0.9253,0.5804,421,355,21,260,615
0.35,0.4442,0.8932,0.5934,462,314,30,251,565
0.39999999999999997,0.4621,0.8683,0.6032,492,284,37,244,528
0.44999999999999996,0.484,0.8078,0.6053,534,242,54,227,469
0.49999999999999994,0.5204,0.7722,0.6218,576,200,64,217,417
0.5499999999999999,0.5487,0.7011,0.6156,614,162,84,197,359
0.5999999999999999,0.5915,0.6441,0.6167,651,125,100,181,306
0.6499999999999999,0.61,0.5623,0.5852,675,101,123,158,259
0.7,0.675,0.4804,0.5613,711,65,146,135,200
0.7499999999999998,0.6712,0.3488,0.459,728,48,183,98,146
0.7999999999999998,0.7353,0.2669,0.3916,749,27,206,75,102
